sel_cores
N1002
N1006
N1008
N1009
N1011
N1017
N1020
N1105
N1106
N1107
N1108
N1114
N1116
N1118
N1202
N1203
N1207
N1212
N1215
N1216
N1217
N1220
N1302
N1308
N1314
N1319
N1403
N1404
N1405
N1501
N1505
N1511
N1515
N1517
N1610
N1616
N1707
N1710
N1711
N1712
N1713
N1717
N1718
N1803
N1804
N1810
N1811
N1812
N1901
N1905
N1907
N1909
N1911
N1913
N1916
N2005
N2010
N2013
N2015
N2104
N2119
N2207
N2208
N2211
N2212
N2214
N2215
N2217
N2218
N2303
N2307
N2310
N2313
N2319
N2410
N2415
N2417
N2507
N2511
N2512
N2518
N2603
N2616
N2617
N2618
N2620
N2703
N2714
N2801
N2802
N2805
N2817
N2919
N3001
N3012
N3018
N3102
N3104
N3112
N3119
N3203
N3204
N3205
N3206
N3211
N3217
N3220
N3303
N3305
N3307
N3311
N3318
